epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,188.822,0.54855,5.42894,0.44471,0.39979,1.19568,0.99794,1,0.995,0.91009,0.96859,0.97059,0.95147,0.47317,0.57062,3.14514,0.53579,0.35766,0.90087,0.0011684,0.0011684,0.0011684
65,191.766,0.59273,5.16199,0.43088,0.39814,1.19857,0.9982,1,0.995,0.86645,0.91013,0.91176,0.88655,0.39285,0.71282,3.73829,0.45358,0.3828,1.07468,0.0011552,0.0011552,0.0011552
66,194.687,0.56059,5.25617,0.4332,0.38238,1.1759,0.99808,1,0.995,0.89884,0.93933,0.94118,0.89265,0.43291,0.5723,2.94325,0.47335,0.35526,0.9384,0.001142,0.001142,0.001142
67,197.597,0.55838,5.22482,0.43684,0.38747,1.18523,0.99735,1,0.995,0.86199,0.99735,1,0.995,0.48868,0.78913,2.73876,0.49173,0.46991,1.299,0.0011288,0.0011288,0.0011288
68,200.491,0.55374,5.31471,0.44624,0.37963,1.15705,0.99755,1,0.995,0.82927,0.79317,0.79412,0.69965,0.29107,0.91646,3.31748,0.52478,0.47035,1.5856,0.0011156,0.0011156,0.0011156
69,203.399,0.57315,5.04734,0.42962,0.39767,1.20646,0.99769,1,0.995,0.85637,0.939,0.94118,0.92975,0.33669,0.7791,2.94049,0.53603,0.46147,1.28426,0.0011024,0.0011024,0.0011024
70,206.318,0.54132,5.05041,0.41678,0.3698,1.15555,0.99813,1,0.995,0.89224,0.93942,0.94118,0.93292,0.47439,0.63215,2.75775,0.4821,0.36656,0.99159,0.0010892,0.0010892,0.0010892
71,209.314,0.54775,4.70396,0.42702,0.37171,1.1549,0.998,1,0.995,0.85259,0.96864,0.97059,0.97059,0.5215,0.7756,2.78319,0.52269,0.39255,1.17763,0.001076,0.001076,0.001076
72,212.243,0.549,4.76667,0.4338,0.3765,1.17283,0.99765,1,0.995,0.81878,0.99765,1,0.995,0.47726,0.92879,2.1923,0.53025,0.3937,1.39831,0.0010628,0.0010628,0.0010628
73,215.145,0.57846,4.87078,0.42263,0.38502,1.20149,0.99824,1,0.995,0.81392,0.88158,0.88235,0.81902,0.38998,0.94108,2.32836,0.52266,0.42156,1.42191,0.0010496,0.0010496,0.0010496
74,218.069,0.53118,4.79083,0.41753,0.37592,1.15364,0.99787,1,0.995,0.8207,0.96898,0.97059,0.975,0.34931,0.84061,2.94686,0.46604,0.40808,1.33753,0.0010364,0.0010364,0.0010364
